id,name,height,date_of_birth
nm0072883,Rowena Bentley,,
nm0000526,Samantha Mathis,165,1970-05-12
nm0074163,Edward Berger,,1970
nm0000529,Debi Mazar,165,1964-08-13
nm0074311,Pablo Berger,,1963
nm0000532,Malcolm McDowell,174,1943-06-13
nm0075303,Ed Berke,,
nm0000538,Colm Meaney,180,1953-05-30
nm0075321,Christian Berkel,200,1957-10-28
nm0000539,Dina Meyer,170,1968-12-22
nm0075528,Greg Berlanti,,1972-05-24
nm0000540,Russ Meyer,185,1922-03-21
nm0075650,Charles Berling,,1958-04-30
nm0000542,Penelope Ann Miller,170,1964-01-13
nm0075696,Andrea Berloff,,
nm0000545,Helen Mirren,163,1945-07-26
nm0076162,Tom Nolan,,1948-01-15
nm0076791,Kevin Bernhardt,,1961-04-02
nm0000547,Alfred Molina,189,1953-05-24
nm0077397,Elizabeth Berrington,200,1970-08-03
nm0000551,Dermot Mulroney,177,1963-10-31
nm0077622,Marilou Berry,200,1983-02-01
nm0000552,Eddie Murphy,175,1961-04-03
nm0077879,Tommy Bertelsen,,
nm0000553,Liam Neeson,193,1952-06-07
nm0078452,Valeria Bertuccelli,,1969-11-30
nm0000554,Sam Neill,182,1947-09-14
nm0078664,Bobby Beshro,200,1970
nm0000555,Judd Nelson,178,1959-11-28
nm0079023,Mara Bestelli,,
nm0000560,Nick Nolte,183,1941-02-08
nm0079418,Daniel Betts,200,1970
nm0000565,Lena Olin,178,1955-03-22
nm0079439,Jack Betts,200,1929-04-11
nm0000566,Julia Ormond,171,1965-01-04
nm0079448,Maggie Betts,,
nm0000568,Frank Oz,188,1944-05-25
nm0080100,David Bezmozgis,,
nm0000571,Mary-Louise Parker,171,1964-08-02
nm0080238,Tanikella Bharani,200,
nm0000572,Sarah Jessica Parker,160,1965-03-25
nm0081023,James Bickert,,1967-08-06
nm0000573,Dolly Parton,152,1946-01-19
nm0081540,Susanne Bier,,1960-04-15
nm0000574,Jason Patric,178,1966-06-17
nm0081675,Magali Biff,,
nm0000575,Alexandra Paul,178,1963-07-29
nm0082052,Jan Bijvoet,,1966-12-28
nm0000576,Sean Penn,173,1960-08-17
nm0082211,Haluk Bilginer,200,1954-06-05
nm0000579,Ron Perlman,185,1950-04-13
nm0082776,Felix Binder,,1977
nm0000583,Wolfgang Petersen,178,1941-03-14
nm0083348,Brad Bird,200,1957-09-24
nm0000588,Martha Plimpton,165,1970-11-16
nm0083452,Terry Bird,,
nm0083655,Gil Birmingham,200,1953-07-13
nm0000597,Bill Pullman,187,1953-12-17
nm0083659,John Birmingham,,1977-10-07
nm0000598,Dennis Quaid,183,1954-04-09
nm0083777,Taner Birsel,200,1959
nm0000599,Kathleen Quinlan,165,1954-11-19
nm0084370,Yannick Bisson,200,1969-05-16
nm0084502,Fabrício Bittar,,1980-07-24
nm0000603,Vanessa Redgrave,181,1937-01-30
nm0084908,Edda Björgvinsdóttir,,1952-09-13
nm0000604,John C. Reilly,188,1965-05-24
nm0085791,Abigail Blackmore,200,
nm0000606,Jean Reno,188,1948-07-30
nm0086301,Macon Blair,,
nm0000610,Giovanni Ribisi,171,1974-12-17
nm0087237,Carlos Blanco,,1959
nm0000612,Denise Richards,168,1971-02-17
nm0087324,Rita Blanco,200,1963-01-11
nm0000613,Joely Richardson,178,1965-01-09
nm0087756,Chris Blasman,200,
nm0089502,Albert Pyun,,1954
nm0000619,Tim Roth,170,1961-05-14
nm0090283,Kunchacko Boban,,
nm0000620,Mickey Rourke,180,1952-09-16
nm0090312,Sean Bobbitt,,1958-11-29
nm0000623,Rene Russo,173,1954-02-17
nm0090674,Rainer Bock,200,1954-07-31
