movie_id,avg_rating,total_votes
tt11041754,7.1,150
tt11046300,8.1,1527
tt11062388,6.9,144
tt11066130,6.7,409
tt11110904,8.6,131
tt11134856,6.2,145
tt11163028,5.9,363
tt11238648,5.5,157
tt1127881,5.5,322
tt1131724,5.8,17187
tt1131728,3.5,1460
tt1134664,5.2,3429
tt1137450,6.4,54528
tt1139592,4,15624
tt1148205,4.8,459
tt1158939,5.8,1878
tt1183352,6.6,475
tt1194238,7.2,11165
tt1194606,3.5,452
tt1206885,6.7,23924
tt1212428,6.6,69528
tt1213641,7.3,139035
tt1219827,6.3,182942
tt1225856,5.6,626
tt1226837,7.3,37276
tt1227927,4.1,187
tt1230168,6.6,4945
tt1235187,6,1927
tt1241317,4.5,69262
tt1249439,2.6,283
tt1253859,6.4,827
tt1255919,3.8,23687
tt1259528,7,75546
tt1270797,6.7,312437
tt1272016,8.1,316
tt1273221,4.3,3919
tt1281966,2.3,390
tt1285009,5.2,23566
tt1286146,7.4,1394
tt1288367,6.5,1008
tt1289403,7.4,25559
tt1291566,6.9,7928
tt1293847,5.2,80138
tt1298644,5.4,26954
tt1301178,4.4,506
tt1302006,8.7,8846
tt1308728,5.4,20548
tt1318517,6.4,10833
tt1330018,6,3462
tt1334514,5.2,234
tt1338635,4.5,105
tt1362141,3.5,236
tt1365519,6.3,172035
tt1366338,5.7,2010
tt1380151,5.1,539
tt1386583,2.3,411
tt1386691,6.2,9243
tt1389072,5.7,83118
tt1389098,6.1,685
tt1396484,7.3,408221
tt1401621,6.9,720
tt1412528,5.8,23848
tt1413492,6.6,54143
tt1431347,5.1,114
tt1454700,7.3,564
tt1458169,5.9,30305
tt1464763,5.4,26807
tt1469304,5.5,145504
tt1477834,7,311374
tt1478839,7.5,8122
tt1485796,7.6,208505
tt1488606,6.5,84580
tt1489887,7.3,45783
tt1492705,5.1,961
tt1502407,6.6,102247
tt1507002,5.4,287
tt1507571,5.8,1835
tt1517451,7.7,284195
tt1517471,6.2,1553
tt1525916,6.8,177
tt1536537,6.9,89598
tt1542484,3.5,266
tt1544608,5.2,9229
tt1553659,6.8,2155
tt1558259,3.9,197
tt1560220,7.2,29555
tt1563742,5.9,28649
tt1564777,5.4,12276
tt1571234,6.1,85366
tt1590193,6.3,89240
tt1604064,3.4,547
tt1604560,5.3,318
tt1610525,6.5,4917
tt1615160,7,85982
tt1618434,6,73211
tt1619029,6.7,67701
tt1620680,4.2,36925
tt1620981,5.9,6650
tt1633217,6.5,527
tt1640605,2.8,110
tt1646972,5.7,122
tt1648190,5.6,115713
tt1650060,5.9,769
tt1650535,6.1,6110
tt1653665,7.1,21632
tt1661275,6.8,15859
tt1663222,3.5,1327
tt1666185,5.8,19277
tt1666187,2.7,677
tt1667321,6.3,7335
tt1667354,7.3,567
tt1674768,4.9,171
tt1677720,7.5,320181
tt1680140,5.1,835
tt1682886,5.5,656
tt1690967,5.9,1654
tt1691916,6.4,41021
tt1691924,2.8,162
tt1698655,4,125
tt1699518,6.6,4661
tt1712192,6.4,10096
tt1715751,4.4,355
tt1718924,6.5,8898
tt1718998,5.2,337
tt1720035,7.1,593
tt1720621,5.6,903
tt1724970,5.3,16039
tt1727396,6.3,346
tt1727497,6.4,949
tt1727824,8,392599
tt1734493,6.2,25583
tt1736046,2.9,100
tt1740683,6.3,525
tt1748051,3.4,294
tt1753786,4.2,1156
tt1754316,4,164
tt1757831,2.3,1080
tt1758810,5.1,51450
tt1759744,5.7,1438
tt1773753,5.1,5106
tt1774591,5.8,4673
tt1776097,1.8,211
tt1780790,3.7,138
tt1780967,5.4,486
tt1781058,5.8,9219
tt1785288,5.4,1428
tt1785635,4.8,10976
tt1790809,6.6,237867
tt1791611,3.6,110
tt1791687,6.2,220
tt1799516,6.4,3044
tt1800302,6.7,52110
tt1801552,4.8,11599
tt1806913,4.9,7344
tt1824932,6.9,123
tt1825683,7.3,551245
tt1826956,3.8,124
tt1833116,6.6,1525
tt1837636,5.7,8958
tt1841642,5.3,12439
tt1843303,6,155
tt1846589,6.6,41685
tt1854582,4.2,1787
tt1855282,7,271
tt1856101,8,399963
tt1859476,5.1,472
tt1860242,6.9,55311
tt1863293,5.5,111
tt1869347,6.3,14622
tt1869491,5.5,477
tt1880399,6.8,9454
tt1880415,5.7,817
tt1881109,4.9,318
tt1884378,3.3,448
tt1895315,7.1,31972
tt1901024,5.1,14503
tt1922544,5.5,368
tt1928334,2.8,336
tt1934452,4,525
tt1935089,5.8,3159
tt1935194,5.4,10929
tt1935897,4.8,11478
tt1937340,5.8,329
tt1946502,4.8,3645
tt1950186,8.3,15065
tt1950235,5.8,5670
tt1961175,6.2,60977
tt1966359,5.5,15323
tt1966385,5.5,1553
tt1967614,5.7,6191
tt1971310,3.2,317
tt1972591,6.7,175069
tt1977094,4.5,1100
tt1979376,7.9,130535
tt1981128,5.3,83630
tt1986202,4.4,8761
tt1987680,6.8,33879
tt1995458,7.4,111
tt1999890,5.5,10811
tt1999995,5.7,33895
tt2002742,6.7,162
tt2011223,5.3,1359
